date,thu,tinh,ngay_text,ky_hieu,special,prize1,prize2_1,prize2_2,prize3_1,prize3_2,prize3_3,prize3_4,prize3_5,prize3_6,prize4_1,prize4_2,prize4_3,prize4_4,prize5_1,prize5_2,prize5_3,prize5_4,prize5_5,prize5_6,prize6_1,prize6_2,prize6_3,prize7_1,prize7_2,prize7_3,prize7_4
2020-03-22,Chủ nhật,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 22/03/2020,5EX-9EX-4EX,24,60,33,53,52,76,19,95,0,22,13,13,35,27,34,4,58,69,22,72,91,10,17,48,9,87,8
2020-03-23,Thứ hai,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 23/03/2020,9EV-11EV-10EV,23,96,63,1,38,15,96,54,74,17,15,52,19,11,75,10,3,57,4,87,51,90,14,56,87,7,93
2020-03-24,Thứ ba,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 24/03/2020,10EU-7EU-14EU,78,12,93,59,20,22,77,63,21,74,5,43,31,85,16,88,87,37,65,29,48,98,85,99,42,59,95
2020-03-25,Thứ tư,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 25/03/2020,7ET-8ET-2ET,96,43,40,33,82,68,13,73,0,57,64,66,88,37,55,84,45,18,11,82,84,17,73,68,19,21,48
2020-03-26,Thứ năm,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 26/03/2020,12ES-11ES-2ES,35,95,48,93,76,13,38,4,95,38,72,3,64,93,12,54,95,58,6,34,10,55,36,6,93,82,80
2020-03-27,Thứ sáu,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 27/03/2020,5ER-11ER-3ER,55,57,94,62,67,28,70,48,71,45,78,9,32,79,23,93,44,38,79,84,4,76,11,82,38,99,54
2020-03-28,Thứ bảy,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 28/03/2020,2EQ-7EQ-14EQ,59,9,59,79,14,79,91,8,6,46,81,2,37,31,28,63,91,53,95,35,15,58,45,74,3,10,23
2020-03-29,Chủ nhật,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 29/03/2020,3EP-6EP-5EP,14,88,92,97,95,9,80,11,37,13,47,89,51,63,97,79,23,83,66,51,42,56,2,24,66,52,88
2020-03-30,Thứ hai,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 30/03/2020,12EN-5EN-9EN,2,59,12,9,80,55,63,49,40,67,59,21,43,95,39,93,82,6,76,49,14,95,58,55,94,79,5
2020-03-31,Thứ ba,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 31/03/2020,5EM-14EM-10EM,19,79,94,8,68,73,91,70,19,61,84,12,63,15,55,38,57,58,76,85,57,30,89,17,45,96,10
2020-04-23,Thứ năm,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 23/04/2020,8FK-9FK-15FK,3,70,18,28,22,3,31,94,86,8,26,90,91,9,6,62,18,23,44,46,95,58,10,32,3,81,8
2020-04-24,Thứ sáu,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 24/04/2020,12FH-2FH-4FH,50,37,2,45,50,18,99,81,58,10,69,7,71,71,27,93,18,71,63,61,79,3,61,46,12,49,81
2020-04-25,Thứ bảy,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 25/04/2020,1FG-10FG-7FG,25,6,24,87,88,80,19,80,34,98,83,47,98,86,94,68,20,42,78,85,42,60,13,14,40,50,46
2020-04-26,Chủ nhật,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 26/04/2020,12FE-9FE-7FE,67,68,98,19,59,93,67,40,22,17,55,6,37,10,84,3,64,6,78,33,95,80,85,8,75,40,42
2020-04-27,Thứ hai,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 27/04/2020,15FD-14FD-9FD,61,1,16,87,27,12,45,25,2,56,89,73,90,58,73,88,91,77,60,18,41,62,89,21,91,28,58
2020-04-28,Thứ ba,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 28/04/2020,3FC-2FC-8FC,63,6,36,27,36,33,7,22,68,41,80,41,95,72,46,13,73,69,58,70,16,97,31,83,34,49,25
2020-04-29,Thứ tư,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 29/04/2020,15FB-8FB-12FB-17FB,98,62,29,33,52,39,73,34,55,62,88,40,72,96,17,60,3,70,64,75,47,58,36,3,72,51,6
2020-04-30,Thứ năm,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 30/04/2020,8FA-12FA-15FA,2,83,22,9,5,16,34,18,92,42,71,88,55,75,61,94,33,80,23,72,45,95,32,37,69,19,99
2020-05-01,Thứ sáu,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 01/05/2020,13GZ-1GZ-9GZ,66,69,43,72,71,25,99,84,41,98,46,51,95,56,88,94,99,34,85,20,2,98,82,64,68,38,69
2020-05-02,Thứ bảy,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 02/05/2020,13GY-6GY-4GY,32,84,34,70,70,55,12,87,0,59,1,18,30,94,31,94,45,23,43,14,52,24,28,99,24,70,46
2020-05-03,Chủ nhật,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 03/05/2020,1GX-11GX-3GX,47,7,9,89,54,8,71,57,16,14,28,42,90,18,57,73,39,88,68,63,80,85,74,55,84,15,86
2020-05-04,Thứ hai,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 04/05/2020,9GV-11GV-3GV,62,17,84,10,89,29,48,53,79,29,93,91,1,81,22,30,8,83,10,59,67,22,67,79,97,80,22
2020-05-05,Thứ ba,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 05/05/2020,9GU-3GU-5GU,72,29,63,98,22,10,42,93,3,93,71,93,37,98,61,80,22,8,88,37,26,71,50,20,37,65,25
2020-05-06,Thứ tư,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 06/05/2020,12GT-1GT-11GT,36,45,26,94,68,43,30,84,16,86,35,43,31,72,41,74,29,45,26,20,13,73,13,25,36,53,15
2020-05-07,Thứ năm,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 07/05/2020,12GS-8GS-6GS,82,44,1,10,83,56,25,36,13,34,2,71,20,27,66,92,11,17,91,60,16,24,85,16,78,79,8
2020-05-08,Thứ sáu,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 08/05/2020,3GR-14GR-9GR,41,17,28,57,55,59,7,54,57,48,4,13,23,79,74,68,74,28,10,3,59,45,7,42,67,86,95
2020-05-09,Thứ bảy,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 09/05/2020,12GQ-2GQ-1GQ,70,98,99,37,61,48,95,38,3,25,0,4,34,13,5,25,3,22,22,58,19,41,44,75,25,85,2
2020-05-10,Chủ nhật,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 10/05/2020,12GP-14GP-10GP,65,5,80,9,48,54,51,76,46,16,42,2,74,2,89,9,34,80,16,70,52,36,94,22,80,59,44
2020-05-11,Thứ hai,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 11/05/2020,12GN-8GN-2GN,19,25,80,76,66,55,64,99,94,48,92,5,68,36,81,16,0,49,39,95,65,65,53,97,43,73,95
2020-05-12,Thứ ba,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 12/05/2020,15GM-6GM-10GM,9,93,97,29,61,42,24,52,80,76,44,12,42,18,61,46,68,0,85,33,25,27,88,33,22,62,35
2020-05-13,Thứ tư,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 13/05/2020,2GL-6GL-5GL,95,63,68,72,64,37,26,3,20,85,88,21,11,77,42,72,21,2,81,88,33,48,55,50,63,39,17
2020-05-14,Thứ năm,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 14/05/2020,10GK-9GK-7GK,63,43,75,46,7,45,83,71,65,67,77,71,74,72,93,45,4,46,28,42,81,78,24,15,44,90,12
2020-05-15,Thứ sáu,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 15/05/2020,6GH-3GH-1GH,95,38,31,59,8,17,40,69,33,1,12,47,31,8,78,7,41,61,95,41,37,7,56,93,79,22,73
